,date,screen_name,tweet,tweet_id
0,2020-11-30 23:49:11,511NY,Cleared: Incident on #B67Bus at Brooklyn,1.3335587262640538e+18
1,2020-11-30 23:49:10,511NY,Cleared: Incident on #B48Bus at Brooklyn,1.3335587207653253e+18
2,2020-11-30 23:49:12,511NY,Cleared: Incident on #B83Bus at Brooklyn,1.3335587295103672e+18
3,2020-11-30 23:49:07,511NY,Cleared: Incident on #B4Bus Both directions at Brooklyn,1.3335587091638764e+18
4,2020-11-30 23:41:53,511NY,Closure on #US19TonnelleAvenue SB at Secaucus Rd https://t.co/9sAa7HmZrD,1.3335568904968643e+18
5,2020-11-30 23:36:59,511NY,Closure on #OTHER NB at Other Road https://t.co/ItWP4oRsw8,1.3335556586171843e+18
6,2020-11-30 23:49:09,511NY,Cleared: Incident on #B43Bus at Brooklyn,1.3335587192134246e+18
7,2020-11-30 23:47:00,511NY,Incident on #NY67 at I-87 Exit 12 https://t.co/0IIkBvIlLi,1.3335581787731476e+18
8,2020-11-30 23:39:05,511NY,Incident on #3Line at 125 St https://t.co/YZ3WAy3ddG,1.333556184717136e+18
9,2020-11-30 23:41:53,511NY,Updated: Incident on #EastsideGWB Both directions from Montgomery Terminal to Washington Bridge Bus Station https://t.co/RPwxiv0kwG,1.3335568915915817e+18
10,2020-11-30 23:49:07,511NY,Cleared: Incident on #B9Bus at Brooklyn,1.333558710761894e+18
11,2020-11-30 23:49:08,511NY,Cleared: Incident on #B35Bus at Brooklyn,1.3335587153504584e+18
12,2020-11-30 23:49:08,511NY,Cleared: Incident on #B17Bus at Brooklyn,1.333558713819476e+18
13,2020-11-30 23:48:01,511NY,Construction on #US920 SB at NY 150 https://t.co/wYhb0b19KF,1.333558435066114e+18
14,2020-11-30 23:49:11,511NY,Cleared: Incident on #B65Bus at Brooklyn,1.3335587254838354e+18
15,2020-11-30 23:49:08,511NY,Cleared: Incident on #B16Bus at Brooklyn,1.333558713064493e+18
16,2020-11-30 23:49:11,511NY,Cleared: Incident on #B70Bus at Brooklyn,1.3335587287554662e+18
17,2020-11-30 23:44:02,511NY,Closure on #US22 EB at East of Garden State Parkway https://t.co/7EdmepuD6c,1.3335574322751324e+18
18,2020-11-30 23:41:53,511NY,Incident on #I287 NB at North of Exit 47 - US 202 https://t.co/wQb9HEG4Xg,1.3335568914697912e+18
19,2020-11-30 23:49:09,511NY,Cleared: Incident on #B38Bus at Brooklyn,1.3335587169064755e+18
20,2020-11-30 23:45:04,511NY,Cleared: Incident on #I87Northway SB from Exit 16; Ballard Road to Exit 15; NY 50,1.3335576915753984e+18
21,2020-11-30 23:49:11,511NY,Cleared: Incident on #B69Bus at Brooklyn,1.3335587279208038e+18
22,2020-11-30 23:45:05,511NY,Cleared: Incident on #I87Northway SB at Exit 10; Ushers Road,1.3335576932740833e+18
23,2020-11-30 23:49:12,511NY,Cleared: Incident on #Q59Bus at Brooklyn,1.3335587310455644e+18
24,2020-11-30 23:39:05,511NY,Incident on #2Line at 125 St https://t.co/YZ3WAy3ddG,1.333556183865684e+18
25,2020-11-30 23:49:07,511NY,Cleared: Incident on #B12Bus at Brooklyn,1.3335587122885468e+18
26,2020-11-30 23:49:10,511NY,Cleared: Incident on #B60Bus at Brooklyn,1.3335587222920438e+18
27,2020-11-30 23:49:09,511NY,Cleared: Incident on #B47Bus at Brooklyn,1.3335587200019456e+18
