,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
0,Cleared: Incident on #SouthernStateParkway WB at Exit 19N - Peninsula Boulevard,0.865,0.1027,cleared incident southern state park way wb exit 19n peninsula boulevard ,40.7924265922103,-73.82777814519004
1,Construction on #I84E EB at Exit 39A (RTE 9 SB) https://t.co/vPkUXBd18e,1.0,0.0,construction i84e eb exit 39a e 9 sb https co v pk uxbd18e ,40.71455000000003,-74.00713999999994
2,Incident on #NJ181 Both directions at CR 517/Sparta Av https://t.co/7QrjfNNmz0,1.0,0.0,incident new jersey 181 directions cr 517 spaa av https co 7qrjf nnmz0 ,40.71455000000003,-74.00713999999994
3,Incident on #Q15ABus from Roosevelt Ave: Main St to Roosevelt Ave: Union St https://t.co/fhIVhUlnv1,1.0,0.0,incident q15abus roosevelt ave main st roosevelt ave union st https co fh ivh ulnv1 ,40.67855000000003,-73.58895999999999
4,Incident on #Q12Bus from Roosevelt Ave: Main St to Roosevelt Ave: Union St https://t.co/fhIVhUlnv1,1.0,0.0,incident q12bus roosevelt ave main st roosevelt ave union st https co fh ivh ulnv1 ,40.67855000000003,-73.58895999999999
5,Cleared: Incident on #ELine Manhattan bound at 7th Avenue-53rd Street Station,0.877,0.1027,cleared incident eline manhattan bound 7th avenue 53rd street station ,40.64871505328062,-74.02071236450017
6,Incident on #Q48Bus from Roosevelt Ave: Main St to Roosevelt Ave: Union St https://t.co/fhIVhUlnv1,1.0,0.0,incident q48bus roosevelt ave main st roosevelt ave union st https co fh ivh ulnv1 ,40.67855000000003,-73.58895999999999
7,Incident on #US9 Both directions at County Route 34 https://t.co/WvuJOC0Xgd,1.0,0.0,incident us9 directions county route 34 https co wvu joc0xgd ,40.71455000000003,-74.00713999999994
8,Construction on #I91N NB at Exit 40 (RTE 20 WB) https://t.co/dM12uYcLLB,1.0,0.0,construction i91n nb exit 40 e 20 wb https co m12u yc llb ,40.71455000000003,-74.00713999999994
9,Updated: Incident on #BM3 Both directions at 57 St and 2nd Ave https://t.co/CT6I3O5TQJ,1.0,0.0,updated incident bm3 directions 57 st 2nd ave https co ct6i3o5tqj ,40.71455000000003,-74.00713999999994
10,Updated: Incident on #M101Bus at Second Ave https://t.co/UJrc9TU2um,1.0,0.0,updated incident m101bus second ave https co ujrc9tu2um ,40.727283344942755,-73.98865574690919
11,Cleared: Construction on #92Bus Both directions at Scotland Road:S Orange Avenue,0.877,0.1027,cleared construction 92bus directions scotland road orange avenue ,40.621120045250805,-73.97624990156677
12,Cleared: Construction on #Q32Bus at E 60th Street:Lexington Avenue,0.833,0.1027,cleared construction q32bus e 60th street lexington avenue ,40.764025592908936,-73.97067414833103
13,Incident on #BM3 Both directions at 57 St and 2nd Ave https://t.co/CT6I3O5TQJ,1.0,0.0,incident bm3 directions 57 st 2nd ave https co ct6i3o5tqj ,40.71455000000003,-74.00713999999994
