,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
4,Cleared: Incident on #WaltWhitmanBridge EB from Pennsylvania Side to New Jersey Side,0.887,0.1027,cleared incident walt whitman bridge east bound pennsylvania side new jersey side ,39.91678,-75.15546
6,Cleared: Incident on #I84 EB at Connecticut State Line (I-84),0.865,0.1027,cleared incident interstate 84 east bound connecticut state line 84  ,41.95926,-73.49843
8,Incident on #2Line SB at 110th Street Station https://t.co/Ox6dwzKhXp,1.0,0.0,incident 2line south bound 110th street station https co ox6dwz kh xp ,40.784695,-73.85682
9,Updated: Incident on #3Line at 110th Street Station https://t.co/Ox6dwzKhXp,1.0,0.0,updated incident 3line 110th street station https co ox6dwz kh xp ,40.784695,-73.85682
10,Construction on #I95S SB at Exit 9 (US 1(MAIN ST)) https://t.co/XLHig42l4L,1.0,0.0,construction interstate 95 south bound exit 9 us 1 main st https co xlhig42l4l ,40.70376,-73.99064
11,Cleared: Incident on #RFKTriboroughBridge NB at Bronx Span,0.833,0.1027,cleared incident rfktriborough bridge route h bound bronx span ,40.826,-73.92309
13,Updated: Construction on #I390 NB at I-490 Westbound https://t.co/YBkKov85fM,1.0,0.0,updated construction i390 route h bound 490 westbound https co brooklyn kov85f ,40.69245,-73.99036
14,Incident on #B57Bus Both directions at Flushing Ave https://t.co/oGiPI7Pu1d,1.0,0.0,incident b57bus directions flushing ave https co gi pi7pu1d ,40.711956,-73.91934
16,Updated: Incident on #2Line SB at 110th Street Station https://t.co/Ox6dwzKhXp,1.0,0.0,updated incident 2line south bound 110th street station https co ox6dwz kh xp ,40.71455,-74.00714
19,Cleared: Incident on #I84W WB at 0.33 miles beyond Exit 5 (RTE 39),0.887,0.1027,cleared incident interstate 84 w west bound 0 33 miles beyond exit 5 route 39  ,40.71455,-74.00714
23,Closure on #35ThAvenue Both directions from 21st Street to Vernon Blvd https://t.co/b6UQ0Z8b10,1.0,0.0,closure 35th avenue directions 21st street vernon blvd https co b6uq0z8b10 ,43.07951,-75.53942
26,Construction on #US46 Both directions at Naughright Rd https://t.co/zf23mnwvAQ,1.0,0.0,construction us46 directions naughright rd https co zf23mnwv aq ,40.71455,-74.00714
28,Cleared: Incident on #RFKTriboroughBridge NB,0.741,0.1027,cleared incident rfktriborough bridge route h bound  ,40.778404,-73.92581
30,Cleared: Incident on #NJ17 SB from NJ 4 to Central Ave,0.865,0.1027,cleared incident new jersey 17 south bound new jersey 4 central ave ,40.570484,-74.53361
32,Construction on #Route400 SB at 0.99 miles beyond Route 20A https://t.co/Dd5rOIcXZZ,1.0,0.0,construction route400 south bound 0 99 miles beyond route 20a https co dd5r oic xzz ,51.61706,-8.91352
