,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
2,Construction on #I84 EB at Exit 9 (RTE 25) https://t.co/tELpVmRBUv,1.0,0.0,construction interstate 84 east bound exit 9 route 25 https co elp vm rbuv ,40.71455,-74.00714
3,Construction on #ManhattanBridge Both directions at Manhattan/Brooklyn Bound https://t.co/J7ygJ6W6c1,1.0,0.0,construction manhattan bridge directions manhattan brooklyn bound https co j7yg j6w6c1 ,45.71147,-73.61996
5,Cleared: Incident on #US9 Both directions at CR 528/Central Ave,0.865,0.1027,cleared incident us9 directions cr 528 central ave ,42.65866,-73.76449
7,Updated: Incident on #NY8 Both directions from Jones Road to Haskell Road https://t.co/RGO6jCEnwl,1.0,0.0,updated incident new york 8 directions jones road haskell road https co rgo6j cenwl ,40.71455,-74.00714
8,Construction on #I84 WB at Exit 32 (RTE 10) https://t.co/x2JSXcgreq,1.0,0.0,construction interstate 84 west bound exit 32 route 10 https co x2jsxcgreq ,40.71455,-74.00714
10,Cleared: Incident on #LincolnTunnel WB at New York,0.833,0.1027,cleared incident lincoln tunnel west bound new york  ,40.75416,-73.99814
11,Cleared: Construction on #B62Bus Both directions at Driggs Av/Union Av,0.865,0.1027,cleared construction b62bus directions driggs av union av ,42.15132,-76.06886
15,Incident on #DLine NB at 167 St https://t.co/GV2Y9XcZP5,1.0,0.0,incident dline route h bound 167 st https co gv2y9xc zp5 ,40.71455,-74.00714
16,Construction on #I395 SB at Exit 14 (WEST TOWN ST) https://t.co/KaflbxRgpN,1.0,0.0,construction i395 south bound exit 14 west town st https co kaflbx rgp n ,41.33593,-74.54127
19,Cleared: Incident on #DLine SB at 145 St,0.833,0.1027,cleared incident dline south bound 145 st ,40.71455,-74.00714
20,Cleared: Construction on #B67Bus at Prospect St/Jay St,0.625,0.3818,cleared construction b67bus prospect st jay st ,40.700764,-73.988
23,Updated: Construction on #NJ3 Both directions at Harmon Cove https://t.co/kU44RmlQXg,1.0,0.0,updated construction new jersey 3 directions harmon cove https co k u44rml qxg ,41.20121,-73.88347
24,Updated: Incident on #4Line Both directions at Woodlawn https://t.co/2ekYIiUGXy,1.0,0.0,updated incident 4line directions woodlawn https co 2ek yii ugxy ,40.89809,-73.86901
26,Cleared: Incident on #DLine NB at 167 St,0.833,0.1027,cleared incident dline route h bound 167 st ,40.71455,-74.00714
27,Construction on #CT8 SB at 0.17 miles beyond Exit 3 (MAIN ST #2) https://t.co/G4BYsX4ZAa,1.0,0.0,construction ct8 south bound 0 17 miles beyond exit 3 main st 2 https co g4bys x4zaa ,51.61706,-8.91352
29,Construction on #Route400 NB at 0.00 miles before Route 20A https://t.co/3HoQOR4sGa,1.0,0.0,construction route400 route h bound 0 00 miles route 20a https co 3ho qor4s ga ,34.93547,-83.38906
30,Incident on #RTE394 EB at 0.67 miles beyond Route 62-1 https://t.co/BznVW33tOO,1.0,0.0,incident route 394 east bound 0 67 miles beyond route 62 1 https co bzn vw33t oo ,51.61706,-8.91352
31,Construction on #I84 WB at Exit 43 (PARK RD) https://t.co/fvzWLmFW2A,1.0,0.0,construction interstate 84 west bound exit 43 park rd https co fvz wlm fw2a ,40.538166,-74.15888
32,Cleared: Incident on #I195 EB at I-295,0.811,0.1027,cleared incident i195 east bound 295 ,40.71455,-74.00714
35,Cleared: Incident on #M15Bus SB at 2 Av/E 66 St,0.851,0.1027,cleared incident m15bus south bound 2 av e 66 st ,40.71455,-74.00714
36,Incident on #NY5 WB https://t.co/wzrH5Bsryg,1.0,0.0,incident new york 5 west bound https co wzr h5bsryg ,54.26931,-0.9314769
37,Closure on #I84 WB at 0.50 miles beyond Exit 64 (KELLY RD) https://t.co/AKNFgUIU49,1.0,0.0,closure interstate 84 west bound 0 50 miles beyond exit 64 kelly rd https co aknfg uiu49 ,51.61706,-8.91352
38,Updated: Incident on #HollandTunnel EB at Mid-Tunnel - South Tube https://t.co/qkOt2GX5Rc,1.0,0.0,updated incident holland tunnel east bound mid tunnel south tube https co qk ot2gx5rc ,42.21753,-75.72503
39,Special Event on #MetlifeStadium https://t.co/65tdBa9Q2x,0.597,0.4019,special event metlife stadium https co 65td ba9q2x ,40.71455,-74.00714
40,Construction on #I84 WB at Exit 10 (CHURCH HILL RD) https://t.co/N9FTyXBPIj,1.0,0.0,construction interstate 84 west bound exit 10 church hill rd https co n9fty xbpij ,52.11073,-9.100681
41,Construction on #CT15 SB at 1.08 miles beyond Exit 44 (RTE 58) https://t.co/IsGcifGRqz,1.0,0.0,construction ct15 south bound 1 08 miles beyond exit 44 route 58 https co gcif grqz ,51.61706,-8.91352
42,Cleared: Incident on #RLine NB at Cortlandt St,0.833,0.1027,cleared incident rline route h bound co route landt st ,40.71455,-74.00714
43,Construction on #CT9 NB at Exit 25 (ELLIS ST) https://t.co/t0kGktLm32,1.0,0.0,construction ct9 route h bound exit 25 ellis st https co t0k gkt lm32 ,40.517353,-74.24134
45,Cleared: Incident on #I495 WB at Exit 20 - Junction Boulevard / Queens Boulevard,0.887,0.1027,cleared incident i495 west bound exit 20 junction boulevard queens boulevard ,40.792564,-73.827
48,Cleared: Incident on #WLine at Cortlandt St,0.811,0.1027,cleared incident wline co route landt st ,40.71455,-74.00714
49,Incident on #RTE425 NB at 0.40 miles beyond Route 93 https://t.co/EM968hWPxa,1.0,0.0,incident route 425 route h bound 0 40 miles beyond route 93 https co em968h wpxa ,51.61706,-8.91352
51,tweet,1.0,0.0,tweet ,41.32125,-74.34017
52,Cleared: Incident on #GardenStateParkway NB at Exit 145 - I-280,0.851,0.1027,cleared incident garden state park way route h bound exit 145 280 ,40.71455,-74.00714
54,Cleared: Incident on #I84 WB at Exit 16 (I-84) - Taconic Parkway,0.877,0.1027,cleared incident interstate 84 west bound exit 16 84 taconic park way  ,40.71455,-74.00714
56,Cleared: Construction on #NY89 NB at Town of Fayette; Town of Varick Line,0.896,0.1027,cleared construction new york 89 route h bound town fayette town varick line ,42.8059,-76.84526
59,Incident on #StatenIslandRailway NB from Tottenville to St George https://t.co/LiPq1Dty5i,1.0,0.0,incident staten island rail way route h bound tottenville st george https co li pq1dty5i ,40.64455,-74.08014
61,Incident on #NY311 NB at NY 164 https://t.co/7KCKymc8IW,1.0,0.0,incident new york 311 route h bound new york 164 https co 7kckymc8iw ,40.71455,-74.00714
