,CRASH TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,distance,severity,polar sentiment,neutral sentiment,target
0,110,40.59742,-74.06836,0,0,0,0,0,0,0,0,4371841,10000,0.0,0.0,0.0,1
1,1155,40.844955,-73.93008,0,0,0,0,0,0,0,0,4371752,206,42.0,0.00010186005549371656,0.9998665771382816,1
2,1800,40.677505,-73.81786,2,0,0,0,0,0,2,0,4371339,1346,4.0,0.0,1.0,1
3,745,40.72948,-73.9721,0,0,0,0,0,0,0,0,4371325,61,52.0,0.10391981830236008,0.8173638017171849,1
4,927,40.669857,-73.95051,1,0,1,0,0,0,0,0,4371303,333,55.0,0.07507360084224092,0.8835826831465783,1
5,31,40.585037,-73.95645,0,1,0,1,0,0,0,0,4370234,177,13.0,0.08284199218749999,0.914232421875,1
6,1200,40.70455,-73.87335999999999,0,0,0,0,0,0,0,0,4370434,940,9.0,0.10189765625,0.8458515625,1
7,1500,40.8115,-73.93481,1,0,0,0,0,0,1,0,4371079,135,45.0,0.24831063625776176,0.8551916701306228,1
8,2300,40.644196,-73.95451,0,0,0,0,0,0,0,0,4369812,769,14.0,0.09317216796875,0.89020703125,1
9,450,40.73753,-73.85401999999999,0,0,0,0,0,0,0,0,4369874,1431,4.0,0.1027,0.764,1
10,2100,40.85269,-73.885216,0,0,0,0,0,0,0,0,4370327,779,15.0,0.2804929992675781,0.8142579956054687,1
11,1411,40.797367,-73.96053,0,0,0,0,0,0,0,0,4366983,190,28.0,0.0884365955516696,0.8742590033560991,1
12,2115,40.678115999999996,-73.92172,0,0,0,0,0,0,0,0,4369616,154,11.0,0.0016046875,0.998078125,1
13,0,40.823833,-73.87807,0,0,0,0,0,0,0,0,4366621,215,17.0,0.10463005981445313,0.8558132171630859,1
14,1500,40.66637,-73.7796,0,0,0,0,0,0,0,0,4365983,417,5.0,-0.003225,0.96675,1
15,2330,40.70145,-73.98962399999999,0,0,0,0,0,0,0,0,4366775,71,125.0,0.08779835483408496,0.8811694489861392,1
16,1330,40.667587,-73.77972,0,0,0,0,0,0,0,0,4364318,521,5.0,-0.003225,0.96675,1
17,1945,40.763892999999996,-73.915,1,0,1,0,0,0,0,0,4365005,730,12.0,0.05135,0.9385,1
18,1840,40.66496,-73.82226,0,0,0,0,0,0,0,0,4363635,101,6.0,0.03209375,0.925375,1
19,240,40.833473,-73.84509,1,0,0,0,0,0,1,0,4371420,569,25.0,0.10257029671669007,0.7424442522525787,1
20,1300,40.7696,-73.95470999999999,1,0,1,0,0,0,0,0,4364709,368,33.0,0.08991587920370511,0.8307791660907679,1
21,1550,40.759308000000004,-73.9653,0,0,0,0,0,0,0,0,4367727,198,52.0,0.04130411558449407,0.8557737793991524,1
22,630,40.69245,-73.81100500000001,3,0,0,0,0,0,3,0,4367469,505,14.0,0.000451318359375,0.9992783203125,1
23,1814,40.698345,-73.92158,1,0,0,0,0,0,1,0,4365976,541,22.0,0.002058209562301636,0.9976787905693054,1
24,1630,40.862732,-73.90333000000001,1,0,1,0,0,0,0,0,4371922,229,20.0,0.2515982423782349,0.8489775867462158,1
25,754,40.596325,-73.76673000000001,0,0,0,0,0,0,0,0,4371169,216,7.0,0.05135,0.93225,1
26,2205,40.689728,-73.99016999999999,0,0,0,0,0,0,0,0,4365172,100,89.0,0.08371883060035157,0.8821513605617739,1
27,30,40.72586,-73.90016999999999,0,0,0,0,0,0,0,0,4366285,645,7.0,0.0978859375,0.855140625,1
28,1950,40.54585,-74.164604,0,0,0,0,0,0,0,0,4368137,953,8.0,0.0946765625,0.732140625,1
29,1600,40.665257000000004,-73.73955500000001,0,0,0,0,0,0,0,0,4372013,572,2.0,0.1027,0.915,1
30,200,40.75206,-73.854256,0,0,0,0,0,0,0,0,4368573,281,7.0,0.05135,0.879484375,1
31,1755,40.876503,-73.90456400000001,0,0,0,0,0,0,0,0,4367808,405,18.0,0.020579846954345702,0.9827207717895508,1
32,1605,40.72368,-73.89961,1,0,0,0,1,0,0,0,4370673,796,8.0,0.09708359375,0.8561015624999999,1
33,2330,40.81133,-73.96403000000001,2,0,0,0,2,0,0,0,4364380,335,17.0,0.05307065124511719,0.9413948059082032,1
34,2108,40.639446,-74.02696,0,0,0,0,0,0,0,0,4370823,251,16.0,0.1094818115234375,0.8876628417968749,1
35,1930,40.635258,-73.92745,0,0,0,0,0,0,0,0,4367841,939,3.0,0.05135,0.9325,1
36,1120,40.693874,-73.91776999999999,1,0,0,0,0,0,1,0,4369330,532,19.0,0.0018087993621826173,0.9977833671569823,1
37,0,40.71767,-73.98484,0,0,0,0,0,0,0,0,4369644,93,96.0,0.06654239794623873,0.875326981811031,1
38,1515,40.630109999999995,-74.01001,1,0,0,0,1,0,0,0,4371637,1621,7.0,0.1612421875,0.8352656249999999,1
39,1327,40.68645,-73.761185,0,0,0,0,0,0,0,0,4364619,798,2.0,0.03845,0.7925,1
40,0,40.667145,-73.882576,0,0,0,0,0,0,0,0,4371806,72,22.0,0.08963644905090333,0.8938763732910157,1
41,1007,40.709827000000004,-73.83983,2,0,0,0,0,0,2,0,4368967,86,10.0,0.0625828125,0.8235195312500001,1
42,1105,40.65487,-73.96191,0,0,0,0,0,0,0,0,4371309,77,22.0,0.0944838119506836,0.8700071334838867,1
43,2250,40.804695,-73.92239000000001,3,0,0,0,0,0,3,0,4364047,309,33.0,0.2469502450471744,0.8569997651670129,1
44,1809,40.636627000000004,-73.94226,0,0,0,0,0,0,0,0,4366130,1533,2.0,0.0,1.0,1
45,1155,40.81832,-73.92636999999999,1,0,0,0,1,0,0,0,4364597,370,36.0,-0.0014909869223483838,0.998940742955194,1
46,1530,40.61996,-74.02365999999999,0,0,0,0,0,0,0,0,4370146,273,7.0,0.03209375,0.9550625,1
47,2345,40.748337,-74.00177,0,0,0,0,0,0,0,0,4366509,488,60.0,0.07114635633021946,0.9277478296414442,1
48,850,40.67862,-73.87906,0,0,0,0,0,0,0,0,4369196,439,17.0,0.05088614501953125,0.9379882202148436,1
49,2034,40.84487,-73.92068,0,0,0,0,0,0,0,0,4371682,64,37.0,0.01495220459110569,0.9914498960061464,1
50,1824,40.709225,-73.84315500000001,0,0,0,0,0,0,0,0,4368820,252,10.0,0.0882578125,0.7762695312500001,1
51,1700,40.69733,-73.78456,1,0,0,0,0,0,1,0,4372897,487,14.0,0.00013790283203125,0.9997742919921876,1
52,430,40.534797999999995,-74.23591,0,0,0,0,0,0,0,0,4372214,116,5.0,0.1027,0.8634999999999999,1
53,1815,40.69141,-73.760544,0,0,0,0,0,0,0,0,4371100,1238,1.0,0.1027,0.851,1
54,746,40.857048,-73.90691,1,0,0,0,0,0,1,0,4366813,359,28.0,0.2512189644448459,0.8494975017532707,1
55,2112,40.824529999999996,-73.91019,0,0,0,0,0,0,0,0,4368265,953,15.0,0.019028271484375,0.98436376953125,1
56,1109,40.837475,-73.94414,0,0,0,0,0,0,0,0,4364166,287,23.0,-0.00031901726722717284,0.998902129650116,1
57,1410,40.85535,-73.91835999999999,1,0,0,0,0,0,1,0,4369336,583,44.0,0.015442395711693459,0.9908640416101662,1
58,2045,40.615463,-74.069466,0,0,0,0,0,0,0,0,4372118,421,19.0,0.06449778137207031,0.8952454528808593,1
59,2127,40.657740000000004,-73.93001,0,0,0,0,0,0,0,0,4367857,689,10.0,0.00240703125,0.9972734375,1
60,1420,40.722324,-74.01178,0,0,0,0,0,0,0,0,4368222,369,131.0,0.02831209666830705,0.9599584269783712,1
61,1748,40.640205,-73.98001,1,0,1,0,0,0,0,0,4373774,225,17.0,0.050343936157226564,0.9310969543457029,1
62,1025,40.75895,-73.96849,1,0,1,0,0,0,0,0,4365784,180,58.0,0.04193095239555037,0.8580425735768393,1
63,1200,40.846478000000005,-73.93400600000001,0,0,0,0,0,0,0,0,4369784,113,40.0,5.171359843971004e-05,0.9999324950765641,1
64,925,40.776604,-73.94663,1,0,0,0,0,0,1,0,4364088,639,31.0,0.07953865010868758,0.8253475339543075,1
65,18,40.8733,-73.853645,1,0,0,0,0,0,1,0,4367642,472,5.0,0.025675,0.9205,1
66,1520,40.795383,-73.92994,0,0,0,0,0,0,0,0,4366884,173,25.0,0.2581860445976257,0.8428248338699341,1
67,100,40.667778000000006,-73.780846,0,0,0,0,0,0,0,0,4371097,605,6.0,-0.003225,0.96675,1
68,330,40.68645,-73.761185,0,0,0,0,0,0,0,0,4367116,798,2.0,0.03845,0.7925,1
69,1330,40.588561999999996,-73.96853,0,0,0,0,0,0,0,0,4368092,702,21.0,0.0625325680732727,0.9369721879959106,1
70,750,40.71479,-73.77486999999999,0,0,0,0,0,0,0,0,4372359,1393,5.0,0.04493125,0.9375625,1
71,1330,40.627186,-73.9431,0,0,0,0,0,0,0,0,4366203,1507,3.0,0.1027,0.877,1
72,115,40.629985999999995,-73.97157,0,0,0,0,0,0,0,0,4365229,123,21.0,0.0504436414718628,0.930897123336792,1
73,1400,40.64632,-73.92981,0,0,0,0,0,0,0,0,4370338,1020,5.0,0.01925625,0.9781875,1
74,1445,40.758140000000004,-73.83516999999999,1,0,0,0,1,0,0,0,4364182,747,9.0,0.0369078125,0.89685546875,1
75,1200,40.620323,-74.02723,0,0,0,0,0,0,0,0,4370388,298,8.0,0.016046875,0.97753125,1
76,1659,40.734295,-73.85031,0,0,0,0,0,0,0,0,4366696,1187,5.0,0.1027,0.7230000000000001,1
77,1630,40.69733,-73.76201999999999,0,0,0,0,0,0,0,0,4367114,1848,1.0,0.1027,0.851,1
78,1830,40.859974,-73.900795,1,0,1,0,0,0,0,0,4370629,86,20.0,0.27406386737823485,0.8227744617462158,1
79,1643,40.60058,-73.99161,0,0,0,0,0,0,0,0,4371215,589,18.0,0.007471826171874999,0.989954704284668,1
80,1511,40.859253,-73.88674,0,0,0,0,0,0,0,0,4371285,189,14.0,0.28023599853515624,0.8146878662109375,1
81,1600,40.722324,-74.01178,1,0,1,0,0,0,0,0,4371064,369,131.0,0.02831209666830705,0.9599584269783712,1
82,1315,40.709286,-73.91019,1,0,1,0,0,0,0,0,4369709,532,15.0,0.04655474243164062,0.9326477661132812,1
83,1200,40.69075,-73.937294,0,0,0,0,0,0,0,0,4372651,305,41.0,0.002132323039981839,0.9966798994363952,1
84,2310,40.668648,-73.92835,2,0,0,0,0,0,2,0,4369323,105,32.0,0.002514774006744847,0.9968620809814892,1
85,900,40.744465000000005,-73.77179,0,0,0,0,0,0,0,0,4369358,676,6.0,0.094721875,0.92478125,1
86,925,40.65728,-73.947365,0,0,0,0,0,0,0,0,4363815,532,19.0,0.030996795654296874,0.965582275390625,1
87,1230,40.66095,-73.92905999999999,1,0,0,0,0,0,1,0,4369818,840,11.0,0.00240703125,0.9972734375,1
88,1750,40.723304999999996,-74.00299,0,0,0,0,0,0,0,0,4369299,156,119.0,0.028312079013352493,0.9599584383533788,1
89,10,40.69536,-73.93236999999999,1,0,0,0,1,0,0,0,4367173,590,20.0,0.0020912651062011717,0.9975132217407228,1
90,23,40.862495,-73.9342,0,0,0,0,0,0,0,0,4370389,146,36.0,0.00011322251598176078,0.9998550707326213,1
91,1945,40.857018,-73.90361999999999,2,0,0,0,0,0,2,0,4371146,379,21.0,0.25138502187728884,0.8493000516891479,1
92,1922,40.606842,-74.0155,0,0,0,0,0,0,0,0,4370952,1490,2.0,0.0,1.0,1
93,1949,40.66169,-73.88757,1,0,0,0,0,0,1,0,4373935,517,18.0,0.0896619140625,0.8933661804199219,1
94,900,40.715145,-73.74935,1,0,0,0,1,0,0,0,4370718,1190,2.0,0.05135,0.9435,1
95,1958,40.809048,-73.92856,0,0,0,0,0,0,0,0,4371219,241,39.0,0.24966500401349626,0.8533908560204437,1
96,1518,40.815933,-73.90992,1,0,0,0,0,0,1,0,4368522,395,19.0,0.009507867431640624,0.9921968383789064,1
97,1115,40.655712,-73.958855,0,0,0,0,0,0,0,0,4367437,133,23.0,0.0942832260131836,0.8624231491088867,1
98,2120,40.8357,-73.88559000000001,0,0,0,0,0,0,0,0,4371737,845,13.0,0.05241845703125,0.935565185546875,1
99,1000,40.892513,-73.84543000000001,2,0,0,0,0,0,2,0,4365385,281,1.0,0.1027,0.682,1
100,2006,40.717014,-73.82970999999999,1,0,0,0,0,0,1,0,4368463,754,8.0,0.05776875,0.828203125,1
101,1400,40.75927,-73.980896,0,0,0,0,0,0,0,0,4372603,353,79.0,0.07343489547511135,0.8716456096346371,1
102,1600,40.678806,-73.871376,0,0,0,0,0,0,0,0,4368134,268,14.0,0.10219853515625,0.88418701171875,1
103,900,40.734646000000005,-73.99036,0,0,0,0,0,0,0,0,4366812,312,96.0,0.06337162339192026,0.9352153508540684,1
104,1731,40.702329999999996,-73.76613,1,0,0,0,0,0,1,0,4365411,1614,1.0,0.0,1.0,1
105,825,40.593384,-73.94442,0,0,0,0,0,0,0,0,4366881,82,14.0,0.05806962890625,0.9321591796875,1
106,945,40.723976,-74.00831,0,0,0,0,0,0,0,0,4367246,204,110.0,0.028312126255608958,0.9599584003867456,1
107,1351,40.864246,-73.904,1,0,0,0,0,0,1,0,4370913,366,21.0,0.25153134775161745,0.8490649652481079,1
108,1430,40.766064,-73.93089,1,0,1,0,0,0,0,0,4365277,227,24.0,0.03932750279903412,0.9128856074810028,1
109,1900,40.861805,-73.91056999999999,0,0,0,0,0,0,0,0,4365864,182,37.0,0.12354196646432827,0.9269122187541652,1
110,1645,40.690468,-73.9879,4,0,0,0,0,0,4,0,4371202,14,88.0,0.08036257873894477,0.8877148734400772,1
111,656,40.65594,-73.92151,0,0,0,0,0,0,0,0,4368015,1103,10.0,0.003610546875,0.99650390625,1
112,1400,40.83999,-73.86221,0,0,0,0,0,0,0,0,4368968,141,15.0,0.095832666015625,0.8890480957031249,1
113,1047,40.82888,-73.93748000000001,2,0,0,0,0,0,2,0,4367643,264,36.0,-0.00018593606948852536,0.999866946220398,1
114,1530,40.758633,-73.96579,0,0,0,0,0,0,0,0,4364622,198,55.0,0.04130411559400253,0.8557737793655709,1
115,235,40.827453999999996,-73.83661,4,0,0,0,0,0,4,0,4365386,145,26.0,0.10178702997267247,0.7442645373344421,1
116,1830,40.846226,-73.865486,0,0,0,0,0,0,0,0,4364402,378,11.0,0.1027,0.86869921875,1
117,1515,40.608433000000005,-74.15544,1,0,0,0,0,0,1,0,4366254,796,12.0,0.019657421875,0.967513671875,1
118,1700,40.64465,-73.87822,0,0,0,0,0,0,0,0,4369744,572,2.0,0.1027,0.89,1
119,2000,40.735676,-74.00057,4,0,4,0,0,0,0,0,4369699,168,77.0,0.015950871903268896,0.983757488458926,1
120,1110,40.717487,-73.95218,0,0,0,0,0,0,0,0,4371811,120,24.0,0.061894204306602474,0.8782031164169308,1
121,948,40.65473,-73.90692,1,0,0,0,1,0,0,0,4364245,374,10.0,0.061379296875,0.930400390625,1
122,1745,40.832573,-73.91051999999999,1,0,0,0,0,0,1,0,4369840,485,21.0,0.02006838798522949,0.9772133216857909,1
123,1200,40.591393,-73.907875,0,0,0,0,0,0,0,0,4371182,1836,1.0,0.0,1.0,1
124,1219,40.772964,-73.9542,0,0,0,0,0,0,0,0,4371722,318,31.0,0.089969259650819,0.8306833300124854,1
125,916,40.541126,-74.21777,0,0,0,0,0,0,0,0,4366948,290,10.0,0.0758765625,0.9007031249999999,1
126,1930,40.664413,-73.901634,0,0,0,0,0,0,0,0,4368650,594,18.0,0.0828169189453125,0.9037180786132812,1
127,510,40.632435,-73.88818,2,0,0,0,0,0,2,0,4370175,1698,2.0,0.1027,0.89,1
128,1400,40.704334,-73.80301,0,0,0,0,0,0,0,0,4371980,242,17.0,0.001723785400390625,0.99828955078125,1
129,1830,40.846515999999994,-73.85995,0,0,0,0,0,0,0,0,4366856,428,13.0,0.08906562500000001,0.8942685546875,1
130,1842,40.782959999999996,-73.94403,0,0,0,0,0,0,0,0,4370313,675,37.0,0.2879322208863537,0.7680809259117523,1
131,1200,40.678925,-74.01106,0,0,0,0,0,0,0,0,4364067,583,27.0,0.06604650876820088,0.9163340463936328,1
132,630,40.6727,-73.83933,0,0,0,0,0,0,0,0,4371688,452,9.0,0.041721875,0.88384765625,1
133,1440,40.72802,-73.88632,0,0,0,0,0,0,0,0,4367327,645,9.0,0.095077734375,0.8554257812499999,1
134,1602,40.864132,-73.89132,1,0,1,0,0,0,0,0,4366899,192,16.0,0.27544019165039063,0.8222396240234375,1
135,145,40.724693,-73.7541,1,0,0,0,0,0,1,0,4369476,534,4.0,0.05135,0.93525,1
136,1750,40.763958,-73.82814,1,0,1,0,0,0,0,0,4370204,193,8.0,0.0304890625,0.9103125,1
137,1505,40.65609,-73.888756,0,0,0,0,0,0,0,0,4365103,565,10.0,0.077025,0.90455859375,1
138,400,40.88709,-73.87803000000001,1,0,0,0,0,0,1,0,4365463,996,3.0,0.28075,0.7845,1
139,900,40.906665999999994,-73.90286,0,0,0,0,0,0,0,0,4365453,810,5.0,0.013225,0.912625,1
140,742,40.6805,-73.915634,0,0,0,0,0,0,0,0,4364081,735,20.0,0.013411442184448242,0.9839283943176268,1
141,1412,40.801636,-73.95284000000001,0,0,0,0,0,0,0,0,4364720,295,27.0,0.05420862201154232,0.9398966235220432,1
142,1808,40.678596,-73.882416,1,0,0,0,0,0,1,0,4370609,458,25.0,0.07679885110855103,0.9075022852420808,1
143,1045,40.902233,-73.843666,0,0,0,0,0,0,0,0,4372195,1269,1.0,0.1027,0.682,1
144,1815,40.561077000000004,-74.16984000000001,0,0,0,0,0,0,0,0,4366113,1857,2.0,0.1027,0.8109999999999999,1
145,45,40.709164,-73.9395,1,0,0,0,0,0,1,0,4367902,292,21.0,0.02036534919738769,0.9776327476501464,1
146,1225,40.829155,-73.93728,1,0,1,0,0,0,0,0,4373953,256,37.0,-9.296803474426268e-05,0.9999334731101991,1
147,2010,40.664043,-73.73653399999999,3,0,0,0,0,0,3,0,4370501,564,2.0,0.1027,0.915,1
148,1007,40.817852,-73.94768,0,0,0,0,0,0,0,0,4364571,773,36.0,0.0012570320380385965,0.9983770143152216,1
149,1530,40.736378,-73.98494000000001,0,0,0,0,0,0,0,0,4369540,220,90.0,-0.034402667845453386,0.9609735295869553,1
150,1626,40.630512,-73.957306,0,0,0,0,0,0,0,0,4365209,929,12.0,0.086502685546875,0.91390283203125,1
151,2250,40.64927,-74.009674,0,0,0,0,0,0,0,0,4369807,291,21.0,0.07107981224060059,0.890754991531372,1
152,1854,40.763542,-73.9852,0,0,0,0,0,0,0,0,4369943,86,65.0,-0.014385266752461863,0.8817101557602147,1
153,1620,40.851936,-73.91078,1,0,0,0,1,0,0,0,4369340,231,33.0,0.06276764477575197,0.9624180079726502,1
154,1745,40.658577,-73.89063,1,0,0,0,0,0,1,0,4365756,662,17.0,0.08334345703125,0.9030575561523436,1
155,2220,40.747890000000005,-73.90536,1,0,0,0,0,0,1,0,4368195,249,6.0,0.03209375,0.9609375,1
156,1600,40.699436,-73.91229,0,0,0,0,0,0,0,0,4368144,216,18.0,0.0329000114440918,0.9605966720581056,1
157,1235,40.60667,-73.972595,0,0,0,0,0,0,0,0,4367633,295,25.0,0.004749714374542236,0.9940011429190636,1
158,1422,40.846657,-73.89619,0,0,0,0,0,0,0,0,4369929,45,17.0,0.2742654327392578,0.8224237976074219,1
159,1200,40.676716,-73.972755,0,0,0,0,0,0,0,0,4371373,194,43.0,0.07637226306151773,0.8799084220257021,1
160,430,40.71702,-73.830505,0,0,0,0,0,0,0,0,4365479,675,8.0,0.05776875,0.828203125,1
161,1740,40.69024,-73.99436999999999,1,0,0,0,1,0,0,0,4369773,272,96.0,0.08748978805046934,0.9040191619386072,1
162,825,40.782959999999996,-73.94403,0,0,0,0,0,0,0,0,4364772,675,37.0,0.2879322208863537,0.7680809259117523,1
163,2222,40.674778,-73.84707,0,0,0,0,0,0,0,0,4371371,159,5.0,0.1027,0.7154375,1
164,510,40.67181,-73.998795,1,0,0,0,0,0,1,0,4363904,45,33.0,0.07806065649879165,0.9048432132904416,1
165,1155,40.864113,-73.92126,0,0,0,0,0,0,0,0,4369673,114,36.0,0.002413324144770741,0.997110814919666,1
166,955,40.669548,-73.911674,1,0,0,0,0,0,1,0,4366557,278,18.0,0.03968859176635742,0.9548634719848632,1
167,1640,40.656273,-73.90731,0,0,0,0,0,0,0,0,4368870,533,13.0,0.056515087890625,0.936730712890625,1
168,710,40.707508000000004,-73.796936,0,0,0,0,0,0,0,0,4366224,174,17.0,0.000921441650390625,0.99904736328125,1
169,1040,40.753304,-73.912575,1,0,1,0,0,0,0,0,4370589,1060,6.0,0.035303125,0.95315625,1
170,2102,40.757603,-73.98479,0,0,0,0,0,0,0,0,4367182,84,78.0,0.07343489786777654,0.8716456070275596,1
171,2010,40.69529,-73.94339000000001,0,0,0,0,0,0,0,0,4365993,604,46.0,0.018516677571807152,0.9771432078084609,1
172,915,40.847027000000004,-73.89806999999999,0,0,0,0,0,0,0,0,4369904,145,16.0,0.2741996154785156,0.8225116577148437,1
173,130,40.818172,-73.95649,0,0,0,0,0,0,0,0,4366937,239,20.0,0.008151937866210938,0.9925578308105468,1
174,1424,40.865612,-73.80109399999999,1,0,1,0,0,0,0,0,4370514,242,3.0,0.05135,0.9575,1
175,1615,40.734924,-73.92312,1,0,0,0,0,0,1,0,4367586,519,9.0,0.025675,0.9565,1
176,1725,40.74671,-73.88228000000001,0,0,0,0,0,0,0,0,4371498,120,6.0,0.077025,0.88825,1
177,1900,40.819363,-73.905045,0,0,0,0,0,0,0,0,4370995,690,17.0,0.009536074829101562,0.9921547241210936,1
178,1430,40.689857,-73.99842,0,0,0,0,0,0,0,0,4367091,137,130.0,0.08604498968866672,0.9063622878545808,1
179,1835,40.73936,-73.85771,4,0,0,0,0,0,4,0,4365343,1560,3.0,0.1027,0.7355,1
180,1835,40.685577,-73.8774,0,0,0,0,0,0,0,0,4371230,206,17.0,0.10183497314453124,0.8691718139648438,1
181,1410,40.857384,-73.88203399999999,0,0,0,0,0,0,0,0,4371283,694,12.0,0.102248681640625,0.8787670898437501,1
182,725,40.815845,-73.89544000000001,0,0,0,0,0,0,0,0,4366800,282,15.0,0.0274107421875,0.9625929565429688,1
183,0,40.59981,-74.00856999999999,0,0,0,0,0,0,0,0,4370808,10000,0.0,0.0,0.0,1
184,1247,40.719543,-73.85914,2,0,0,0,0,0,2,0,4370921,920,6.0,0.1027,0.7524062499999999,1
185,1530,40.822453,-73.885735,0,0,0,0,0,0,0,0,4369891,66,15.0,0.053286328125,0.9268527221679688,1
186,2025,40.88134,-73.90933000000001,1,0,0,0,0,0,1,0,4365460,520,12.0,0.001065185546875,0.99658740234375,1
187,715,40.637825,-73.8966,0,0,0,0,0,0,0,0,4364605,730,4.0,0.025675,0.9725,1
188,1038,40.61701,-73.969124,4,0,0,0,0,0,4,0,4373365,251,17.0,0.02516726684570313,0.9702875061035156,1
189,1330,40.59738,-73.98633000000001,0,0,0,0,0,0,0,0,4364872,133,19.0,0.0085499755859375,0.987805477142334,1
190,1722,40.696117,-73.90501400000001,0,0,0,0,0,0,0,0,4370868,88,16.0,0.09389615783691407,0.8656213684082031,1
191,2025,40.745166999999995,-73.82139000000001,1,0,0,0,0,0,1,0,4368194,733,6.0,0.025675,0.959875,1
192,2130,40.656662,-73.87955,0,0,0,0,0,0,0,0,4367653,637,7.0,0.1027,0.8444375,1
193,2043,40.825171999999995,-73.941505,0,0,0,0,0,0,0,0,4370527,156,34.0,0.0008599641811102629,0.9981411185450852,1
194,510,40.87258,-73.90460999999999,0,0,0,0,0,0,0,0,4367806,160,18.0,0.015253150177001953,0.9816376419067384,1
195,1825,40.678944,-73.83447,1,0,0,0,1,0,0,0,4369376,1174,4.0,0.077025,0.7615000000000001,1
196,1851,40.819046,-73.944695,1,0,0,0,0,0,1,0,4367738,827,35.0,0.0012571548485662788,0.9983768314220942,1
197,510,40.638664,-74.00268,0,0,0,0,0,0,0,0,4366756,1012,10.0,0.06590625,0.90201171875,1
198,1640,40.88049,-73.840836,0,0,0,0,0,0,0,0,4371685,1047,4.0,0.025675,0.9205,1
199,1629,40.84047,-73.886116,0,0,0,0,0,0,0,0,4367398,703,14.0,0.10248687744140624,0.8754000244140625,1
200,2320,40.683758000000005,-73.93294499999999,0,0,0,0,0,0,0,0,4369604,208,40.0,0.0005145471309338973,0.9991802885744236,1
201,950,40.615788,-73.98931,0,0,0,0,0,0,0,0,4371214,906,10.0,0.009226953125,0.9888203125,1
202,110,40.85962,-73.9312,0,0,0,0,0,0,0,0,4363367,117,39.0,5.661096768781135e-05,0.9999275356899124,1
203,1340,40.738009999999996,-73.86123,1,0,0,0,1,0,0,0,4369849,1833,3.0,0.1027,0.7665,1
204,845,40.78257,-73.94521999999999,1,0,0,0,1,0,0,0,4366582,551,37.0,0.28793222091325443,0.7680809258641675,1
205,2000,40.771716999999995,-73.78389,0,0,0,0,0,0,0,0,4366685,318,8.0,0.04493125,0.95096875,1
206,1430,40.82403,-73.94476,0,0,0,0,0,0,0,0,4364672,482,30.0,0.00011721271723508838,0.9976074268370868,1
207,1735,40.7244,-73.84980999999999,1,0,1,0,0,0,0,0,4366695,257,9.0,0.073815625,0.8060390625,1
208,1750,40.695370000000004,-73.76326,2,0,0,0,0,0,2,0,4367315,1698,1.0,0.1027,0.851,1
209,2050,40.71528,-73.97648000000001,4,0,0,0,0,0,4,0,4365418,112,79.0,0.07539547776028235,0.8544328928553886,1
210,1900,40.857116999999995,-73.89907,0,0,0,0,0,0,0,0,4371164,181,18.0,0.2740977554321289,0.8227311706542969,1
211,440,40.60307,-74.14047,1,0,1,0,0,0,0,0,4369963,76,15.0,0.04434486083984375,0.9313327026367187,1
212,2023,40.660088,-73.913155,0,0,0,0,0,0,0,0,4370079,957,12.0,0.02637705078125,0.970876953125,1
213,1420,40.792248,-73.96611999999999,0,0,0,0,0,0,0,0,4364582,251,22.0,0.08788235049247743,0.8739495511054993,1
214,1100,40.71642,-73.90618,0,0,0,0,0,0,0,0,4367285,725,15.0,0.04654847412109375,0.9326552734375,1
215,5,40.661118,-73.958115,0,0,0,0,0,0,0,0,4366726,230,28.0,0.09368195791244507,0.8693809375762939,1
216,1120,40.68083,-73.82719399999999,1,0,1,0,0,0,0,0,4369375,1734,2.0,0.05135,0.841,1
217,1050,40.656273,-73.90731,0,0,0,0,0,0,0,0,4373519,533,13.0,0.056515087890625,0.936730712890625,1
218,9,40.63132,-74.155464,0,0,0,0,0,0,0,0,4366506,240,17.0,0.008374884033203125,0.9883172607421876,1
219,840,40.7499,-73.80448,1,0,0,0,0,0,1,0,4368654,587,8.0,0.00080234375,0.997515625,1
220,1430,40.820305,-73.89083000000001,1,0,0,0,0,0,1,0,4366823,216,15.0,0.053085742187499986,0.9270929565429687,1
221,1400,40.742443,-73.980515,0,0,0,0,0,0,0,0,4366577,290,80.0,0.07338527176985085,0.8722606667936329,1
222,1754,40.807167,-73.91726,0,0,0,0,0,0,0,0,4368519,741,28.0,0.2469523506164551,0.8569977264404298,1
