,CRASH TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,distance,severity,neutral sentiment,target
0,110,40.59742,-74.06836,0,0,0,0,0,0,0,0,4371841,10000,0,0,1
1,1155,40.844955,-73.93008,0,0,0,0,0,0,0,0,4371752,206,59,1,1
2,1800,40.677505,-73.81786,2,0,0,0,0,0,2,0,4371339,1027,9,1,1
3,745,40.72948,-73.9721,0,0,0,0,0,0,0,0,4371325,61,105,1,1
4,927,40.669857,-73.95051,1,0,1,0,0,0,0,0,4371303,281,84,1,1
5,31,40.585037,-73.95645,0,1,0,1,0,0,0,0,4370234,177,30,1,1
6,1200,40.70455,-73.87335999999999,0,0,0,0,0,0,0,0,4370434,940,17,1,1
7,1500,40.8115,-73.93481,1,0,0,0,0,0,1,0,4371079,135,65,0,1
8,2300,40.644196,-73.95451,0,0,0,0,0,0,0,0,4369812,345,24,1,1
9,450,40.73753,-73.85401999999999,0,0,0,0,0,0,0,0,4369874,723,11,0,1
10,2100,40.85269,-73.885216,0,0,0,0,0,0,0,0,4370327,188,27,0,1
11,1411,40.797367,-73.96053,0,0,0,0,0,0,0,0,4366983,156,42,0,1
12,2115,40.678115999999996,-73.92172,0,0,0,0,0,0,0,0,4369616,101,30,1,1
13,0,40.823833,-73.87807,0,0,0,0,0,0,0,0,4366621,215,30,0,1
14,1500,40.66637,-73.7796,0,0,0,0,0,0,0,0,4365983,403,10,0,1
15,2330,40.70145,-73.98962399999999,0,0,0,0,0,0,0,0,4366775,71,230,1,1
16,1330,40.667587,-73.77972,0,0,0,0,0,0,0,0,4364318,517,10,0,1
17,1945,40.763892999999996,-73.915,1,0,1,0,0,0,0,0,4365005,598,28,0,1
18,1840,40.66496,-73.82226,0,0,0,0,0,0,0,0,4363635,101,10,0,1
19,30,40.768982,-73.91064,2,0,0,0,0,0,2,0,4362890,127,25,0,1
20,2100,40.65108,-73.97163,0,0,0,0,0,0,0,0,4362871,316,44,0,1
21,1346,40.67757,-73.88604000000001,0,0,0,0,0,0,0,0,4363042,171,56,0,1
